#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:25:35       0    181     51      -     82     35      0      0      0      0  13801   2872      0      0   7861     46      0      -      -      0    155     60
 20260913    13:25:36       0    181     49      -     74     33      0      0      0      0  13801   2872      0      0   7861     46      0      -      -      0    118     46
 20260913    13:25:37       0    182     52      -     80     37      0      0      0      0  13801   2872      0      0   7861     46      0      -      -      0    213     35
 20260913    13:25:38       0    181     51      -     76     33      0      0      0      0  13801   2872      0      0   7861     46      0      -      -      0    184     93
 20260913    13:25:39       0    183     52      -     81     37      0      0      0      0  13801   2872      0      0   7861     46      0      -      -      0    676     38
 20260913    13:25:40       0    182     51      -     80     33      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    215     39
 20260913    13:25:41       0    182     53      -     80     36      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    182     71
 20260913    13:25:42       0    183     53      -     77     32      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    161     63
 20260913    13:25:43       0    184     54      -     81     35      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    680     35
 20260913    13:25:44       0    184     53      -     77     36      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    197     34
 20260913    13:25:45       0    182     54      -     74     33      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    216     70
 20260913    13:25:46       0    184     53      -     77     36      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    693     28
 20260913    13:25:47       0    183     54      -     78     32      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    682     34
 20260913    13:25:48       0    183     54      -     80     36      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    153     35
 20260913    13:25:49       0    182     54      -     78     34      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    219     35
 20260913    13:25:50       0    184     54      -     80     35      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    152     57
 20260913    13:25:51       0    182     54      -     73     30      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    621     31
 20260913    13:25:53       0    183     55      -     80     36      0      0      0      0  13801   2865      0      0   7861     46      0      -      -      0    145     34
